seasondoubleyear,Team_Name,Team_ID,season,SeasonStartYear,SeasonEndYear,coach,school,coachtenure,totalgames,totalwins,totallosses,seasonwinpercentage,ncaavisits,ncaavisit,regseasonchamp,ncaachamp
2010-2011,"Col Charleston",1158,2010-11,2010,2011,"Bobby Cremins","College of Charleston",35,37,26,11,0.7027,11,0,1,0
2011-2012,"Col Charleston",1158,2011-12,2011,2012,"Bobby Cremins","College of Charleston",36,31,19,12,0.6129,11,0,0,0
1976-1977,Colorado,1160,1976-77,1976,1977,"Bill Blair",Colorado,4,27,11,16,0.4074,1,0,0,0
1977-1978,Colorado,1160,1977-78,1977,1978,"Bill Blair",Colorado,5,27,9,18,0.3333,1,0,0,0
1978-1979,Colorado,1160,1978-79,1978,1979,"Bill Blair",Colorado,6,27,14,13,0.5185,1,0,0,0
1979-1980,Colorado,1160,1979-80,1979,1980,"Bill Blair",Colorado,7,27,17,10,0.6296,1,0,0,0
1980-1981,Colorado,1160,1980-81,1980,1981,"Bill Blair",Colorado,8,28,16,12,0.5714,1,0,0,0
1995-1996,Columbia,1162,1995-96,1995,1996,"Armond Hill",Columbia,0,26,7,19,0.2692,0,0,0,0
1996-1997,Columbia,1162,1996-97,1996,1997,"Armond Hill",Columbia,1,26,6,20,0.2308,0,0,0,0
1997-1998,Columbia,1162,1997-98,1997,1998,"Armond Hill",Columbia,2,26,11,15,0.4231,0,0,0,0
1998-1999,Columbia,1162,1998-99,1998,1999,"Armond Hill",Columbia,3,26,10,16,0.3846,0,0,0,0
1999-1900,Columbia,1162,1999-00,1999,1900,"Armond Hill",Columbia,4,27,13,14,0.4815,0,0,0,0
2000-2001,Columbia,1162,2000-01,2000,2001,"Armond Hill",Columbia,5,27,12,15,0.4444,0,0,0,0
2001-2002,Columbia,1162,2001-02,2001,2002,"Armond Hill",Columbia,6,28,11,17,0.3929,0,0,0,0
2002-2003,Columbia,1162,2002-03,2002,2003,"Armond Hill",Columbia,7,27,2,25,0.0741,0,0,0,0
1978-1979,Columbia,1162,1978-79,1978,1979,"Buddy Mahar",Columbia,0,26,17,9,0.6538,0,0,0,0
1979-1980,Columbia,1162,1979-80,1979,1980,"Buddy Mahar",Columbia,1,26,10,16,0.3846,0,0,0,0
1980-1981,Columbia,1162,1980-81,1980,1981,"Buddy Mahar",Columbia,2,26,9,17,0.3462,0,0,0,0
1981-1982,Columbia,1162,1981-82,1981,1982,"Buddy Mahar",Columbia,3,26,16,10,0.6154,0,0,0,0
1982-1983,Columbia,1162,1982-83,1982,1983,"Buddy Mahar",Columbia,4,26,10,16,0.3846,0,0,0,0
1983-1984,Columbia,1162,1983-84,1983,1984,"Buddy Mahar",Columbia,5,26,8,18,0.3077,0,0,0,0
2012-2013,"CS Fullerton",1168,2012-13,2012,2013,"Andy Newman","Cal State Fullerton",0,32,14,18,0.4375,0,0,0,0
2003-2004,"CS Fullerton",1168,2003-04,2003,2004,"Bob Burton","Cal State Fullerton",0,28,11,17,0.3929,0,0,0,0
2004-2005,"CS Fullerton",1168,2004-05,2004,2005,"Bob Burton","Cal State Fullerton",1,32,21,11,0.6563,0,0,0,0
2005-2006,"CS Fullerton",1168,2005-06,2005,2006,"Bob Burton","Cal State Fullerton",2,29,16,13,0.5517,0,0,0,0
2006-2007,"CS Fullerton",1168,2006-07,2006,2007,"Bob Burton","Cal State Fullerton",3,30,20,10,0.6667,0,0,0,0
2007-2008,"CS Fullerton",1168,2007-08,2007,2008,"Bob Burton","Cal State Fullerton",4,33,24,9,0.7273,0,1,1,1
2008-2009,"CS Fullerton",1168,2008-09,2008,2009,"Bob Burton","Cal State Fullerton",5,32,15,17,0.4688,1,0,0,0
2009-2010,"CS Fullerton",1168,2009-10,2009,2010,"Bob Burton","Cal State Fullerton",6,31,16,15,0.5161,1,0,0,0
2010-2011,"CS Fullerton",1168,2010-11,2010,2011,"Bob Burton","Cal State Fullerton",7,31,11,20,0.3548,1,0,0,0
2011-2012,"CS Fullerton",1168,2011-12,2011,2012,"Bob Burton","Cal State Fullerton",8,31,21,10,0.6774,1,0,0,0
1994-1995,"CS Fullerton",1168,1994-95,1994,1995,"Bob Hawking","Cal State Fullerton",0,27,7,20,0.2593,0,0,0,0
1995-1996,"CS Fullerton",1168,1995-96,1995,1996,"Bob Hawking","Cal State Fullerton",1,26,6,20,0.2308,0,0,0,0
1996-1997,"CS Fullerton",1168,1996-97,1996,1997,"Bob Hawking","Cal State Fullerton",2,27,13,14,0.4815,0,0,0,0
1997-1998,"CS Fullerton",1168,1997-98,1997,1998,"Bob Hawking","Cal State Fullerton",3,28,12,16,0.4286,0,0,0,0
1998-1999,"CS Fullerton",1168,1998-99,1998,1999,"Bob Hawking","Cal State Fullerton",4,27,13,14,0.4815,0,0,0,0
1999-1900,"CS Fullerton",1168,1999-00,1999,1900,"Bob Hawking","Cal State Fullerton",5,27,8,19,0.2963,0,0,0,0
1974-1975,"CS Fullerton",1168,1974-75,1974,1975,"Bobby Dye","Cal State Fullerton",0,24,13,11,0.5417,0,0,0,0
1975-1976,"CS Fullerton",1168,1975-76,1975,1976,"Bobby Dye","Cal State Fullerton",1,25,15,10,0.6000,0,0,1,0
1976-1977,"CS Fullerton",1168,1976-77,1976,1977,"Bobby Dye","Cal State Fullerton",2,26,16,10,0.6154,0,0,0,0
1977-1978,"CS Fullerton",1168,1977-78,1977,1978,"Bobby Dye","Cal State Fullerton",3,32,23,9,0.7188,0,1,0,1
1978-1979,"CS Fullerton",1168,1978-79,1978,1979,"Bobby Dye","Cal State Fullerton",4,27,16,11,0.5926,1,0,0,0
1979-1980,"CS Fullerton",1168,1979-80,1979,1980,"Bobby Dye","Cal State Fullerton",5,27,10,17,0.3704,1,0,0,0
1992-1993,"CS Fullerton",1168,1992-93,1992,1993,"Brad Holland","Cal State Fullerton",0,27,15,12,0.5556,0,0,0,0
1993-1994,"CS Fullerton",1168,1993-94,1993,1994,"Brad Holland","Cal State Fullerton",1,27,8,19,0.2963,0,0,0,0
1996-1997,"CS Northridge",1169,1996-97,1996,1997,"Bobby Braswell","Cal State Northridge",0,29,14,15,0.4828,0,0,0,0
1997-1998,"CS Northridge",1169,1997-98,1997,1998,"Bobby Braswell","Cal State Northridge",1,28,12,16,0.4286,0,0,0,0
1998-1999,"CS Northridge",1169,1998-99,1998,1999,"Bobby Braswell","Cal State Northridge",2,29,17,12,0.5862,0,0,0,0
1999-1900,"CS Northridge",1169,1999-00,1999,1900,"Bobby Braswell","Cal State Northridge",3,30,20,10,0.6667,0,0,0,0
2000-2001,"CS Northridge",1169,2000-01,2000,2001,"Bobby Braswell","Cal State Northridge",4,32,22,10,0.6875,0,1,1,1
2001-2002,"CS Northridge",1169,2001-02,2001,2002,"Bobby Braswell","Cal State Northridge",5,28,12,16,0.4286,1,0,0,0
2002-2003,"CS Northridge",1169,2002-03,2002,2003,"Bobby Braswell","Cal State Northridge",6,29,14,15,0.4828,1,0,0,0
2003-2004,"CS Northridge",1169,2003-04,2003,2004,"Bobby Braswell","Cal State Northridge",7,30,14,16,0.4667,1,0,0,0
2004-2005,"CS Northridge",1169,2004-05,2004,2005,"Bobby Braswell","Cal State Northridge",8,31,18,13,0.5806,1,0,0,0
2005-2006,"CS Northridge",1169,2005-06,2005,2006,"Bobby Braswell","Cal State Northridge",9,28,11,17,0.3929,1,0,0,0
2006-2007,"CS Northridge",1169,2006-07,2006,2007,"Bobby Braswell","Cal State Northridge",10,31,14,17,0.4516,1,0,0,0
2007-2008,"CS Northridge",1169,2007-08,2007,2008,"Bobby Braswell","Cal State Northridge",11,30,20,10,0.6667,1,0,1,0
2008-2009,"CS Northridge",1169,2008-09,2008,2009,"Bobby Braswell","Cal State Northridge",12,31,17,14,0.5484,1,1,1,1
2009-2010,"CS Northridge",1169,2009-10,2009,2010,"Bobby Braswell","Cal State Northridge",13,32,11,21,0.3438,2,0,0,0
2010-2011,"CS Northridge",1169,2010-11,2010,2011,"Bobby Braswell","Cal State Northridge",14,32,14,18,0.4375,2,0,0,0
2011-2012,"CS Northridge",1169,2011-12,2011,2012,"Bobby Braswell","Cal State Northridge",15,28,7,21,0.2500,2,0,0,0
2012-2013,"CS Northridge",1169,2012-13,2012,2013,"Bobby Braswell","Cal State Northridge",16,31,14,17,0.4516,2,0,0,0
1993-1994,Cornell,1165,1993-94,1993,1994,"Al Walker",Cornell,0,26,8,18,0.3077,0,0,0,0
1994-1995,Cornell,1165,1994-95,1994,1995,"Al Walker",Cornell,1,26,9,17,0.3462,0,0,0,0
1995-1996,Cornell,1165,1995-96,1995,1996,"Al Walker",Cornell,2,26,10,16,0.3846,0,0,0,0
1974-1975,Cornell,1165,1974-75,1974,1975,"Ben Bluitt",Cornell,0,25,7,18,0.2800,0,0,0,0
1975-1976,Cornell,1165,1975-76,1975,1976,"Ben Bluitt",Cornell,1,26,8,18,0.3077,0,0,0,0
1976-1977,Cornell,1165,1976-77,1976,1977,"Ben Bluitt",Cornell,2,26,8,18,0.3077,0,0,0,0
1977-1978,Cornell,1165,1977-78,1977,1978,"Ben Bluitt",Cornell,3,26,9,17,0.3462,0,0,0,0
1978-1979,Cornell,1165,1978-79,1978,1979,"Ben Bluitt",Cornell,4,26,8,18,0.3077,0,0,0,0
1979-1980,Cornell,1165,1979-80,1979,1980,"Ben Bluitt",Cornell,5,24,5,19,0.2083,0,0,0,0
2010-2011,Cornell,1165,2010-11,2010,2011,"Bill Courtney",Cornell,0,28,10,18,0.3571,0,0,0,0
2011-2012,Cornell,1165,2011-12,2011,2012,"Bill Courtney",Cornell,1,28,12,16,0.4286,0,0,0,0
2012-2013,Cornell,1165,2012-13,2012,2013,"Bill Courtney",Cornell,2,31,13,18,0.4194,0,0,0,0
2013-2014,Cornell,1165,2013-14,2013,2014,"Bill Courtney",Cornell,3,28,2,26,0.0714,0,0,0,0
2014-2015,Cornell,1165,2014-15,2014,2015,"Bill Courtney",Cornell,4,30,13,17,0.4333,0,0,0,0
2015-2016,Cornell,1165,2015-16,2015,2016,"Bill Courtney",Cornell,5,24,9,15,0.3750,0,0,0,0
1989-1990,Davidson,1172,1989-90,1989,1990,"Bob McKillop",Davidson,0,28,4,24,0.1429,0,0,0,0
1990-1991,Davidson,1172,1990-91,1990,1991,"Bob McKillop",Davidson,1,29,10,19,0.3448,0,0,0,0
1991-1992,Davidson,1172,1991-92,1991,1992,"Bob McKillop",Davidson,2,28,11,17,0.3929,0,0,0,0
1992-1993,Davidson,1172,1992-93,1992,1993,"Bob McKillop",Davidson,3,28,14,14,0.5000,0,0,0,0
1993-1994,Davidson,1172,1993-94,1993,1994,"Bob McKillop",Davidson,4,30,22,8,0.7333,0,0,0,0
1994-1995,Davidson,1172,1994-95,1994,1995,"Bob McKillop",Davidson,5,27,14,13,0.5185,0,0,0,0
1995-1996,Davidson,1172,1995-96,1995,1996,"Bob McKillop",Davidson,6,30,25,5,0.8333,0,0,1,0
1996-1997,Davidson,1172,1996-97,1996,1997,"Bob McKillop",Davidson,7,28,18,10,0.6429,0,0,1,0
1997-1998,Davidson,1172,1997-98,1997,1998,"Bob McKillop",Davidson,8,30,20,10,0.6667,0,1,1,1
1998-1999,Davidson,1172,1998-99,1998,1999,"Bob McKillop",Davidson,9,27,16,11,0.5926,1,0,0,0
1999-1900,Davidson,1172,1999-00,1999,1900,"Bob McKillop",Davidson,10,28,15,13,0.5357,1,0,0,0
2000-2001,Davidson,1172,2000-01,2000,2001,"Bob McKillop",Davidson,11,32,15,17,0.4688,1,0,0,0
2001-2002,Davidson,1172,2001-02,2001,2002,"Bob McKillop",Davidson,12,31,21,10,0.6774,1,1,1,1
2002-2003,Davidson,1172,2002-03,2002,2003,"Bob McKillop",Davidson,13,27,17,10,0.6296,2,0,1,0
2003-2004,Davidson,1172,2003-04,2003,2004,"Bob McKillop",Davidson,14,29,17,12,0.5862,2,0,1,0
2004-2005,Davidson,1172,2004-05,2004,2005,"Bob McKillop",Davidson,15,32,23,9,0.7188,2,0,1,0
2005-2006,Davidson,1172,2005-06,2005,2006,"Bob McKillop",Davidson,16,31,20,11,0.6452,2,1,0,1
2006-2007,Davidson,1172,2006-07,2006,2007,"Bob McKillop",Davidson,17,34,29,5,0.8529,3,1,1,1
2007-2008,Davidson,1172,2007-08,2007,2008,"Bob McKillop",Davidson,18,36,29,7,0.8056,4,1,1,1
2008-2009,Davidson,1172,2008-09,2008,2009,"Bob McKillop",Davidson,19,35,27,8,0.7714,5,0,1,0
2009-2010,Davidson,1172,2009-10,2009,2010,"Bob McKillop",Davidson,20,31,16,15,0.5161,5,0,0,0
2010-2011,Davidson,1172,2010-11,2010,2011,"Bob McKillop",Davidson,21,33,18,15,0.5455,5,0,0,0
2011-2012,Davidson,1172,2011-12,2011,2012,"Bob McKillop",Davidson,22,33,25,8,0.7576,5,1,1,1
2012-2013,Davidson,1172,2012-13,2012,2013,"Bob McKillop",Davidson,23,34,26,8,0.7647,6,1,1,1
2013-2014,Davidson,1172,2013-14,2013,2014,"Bob McKillop",Davidson,24,33,20,13,0.6061,7,0,1,0
2014-2015,Davidson,1172,2014-15,2014,2015,"Bob McKillop",Davidson,25,32,24,8,0.7500,7,1,1,0
2015-2016,Davidson,1172,2015-16,2015,2016,"Bob McKillop",Davidson,26,25,16,9,0.6400,8,0,0,0
1981-1982,Davidson,1172,1981-82,1981,1982,"Bobby Hussey",Davidson,0,29,14,15,0.4828,0,0,0,0
1982-1983,Davidson,1172,1982-83,1982,1983,"Bobby Hussey",Davidson,1,28,13,15,0.4643,0,0,0,0
1983-1984,Davidson,1172,1983-84,1983,1984,"Bobby Hussey",Davidson,2,28,9,19,0.3214,0,0,0,0
1984-1985,Davidson,1172,1984-85,1984,1985,"Bobby Hussey",Davidson,3,29,10,19,0.3448,0,0,0,0
1985-1986,Davidson,1172,1985-86,1985,1986,"Bobby Hussey",Davidson,4,31,20,11,0.6452,0,1,0,1
1986-1987,Davidson,1172,1986-87,1986,1987,"Bobby Hussey",Davidson,5,30,20,10,0.6667,1,0,0,0
1987-1988,Davidson,1172,1987-88,1987,1988,"Bobby Hussey",Davidson,6,28,15,13,0.5357,1,0,0,0
1988-1989,Davidson,1172,1988-89,1988,1989,"Bobby Hussey",Davidson,7,31,7,24,0.2258,1,0,0,0
2011-2012,Dayton,1173,2011-12,2011,2012,"Archie Miller",Dayton,0,33,20,13,0.6061,0,0,0,0
2012-2013,Dayton,1173,2012-13,2012,2013,"Archie Miller",Dayton,1,31,17,14,0.5484,0,0,0,0
2013-2014,Dayton,1173,2013-14,2013,2014,"Archie Miller",Dayton,2,37,26,11,0.7027,0,1,0,0
2014-2015,Dayton,1173,2014-15,2014,2015,"Archie Miller",Dayton,3,36,27,9,0.7500,1,1,0,0
2015-2016,Dayton,1173,2015-16,2015,2016,"Archie Miller",Dayton,4,26,21,5,0.8077,2,0,0,0
2003-2004,Dayton,1173,2003-04,2003,2004,"Brian Gregory",Dayton,0,33,24,9,0.7273,0,1,1,0
2004-2005,Dayton,1173,2004-05,2004,2005,"Brian Gregory",Dayton,1,29,18,11,0.6207,1,0,0,0
2005-2006,Dayton,1173,2005-06,2005,2006,"Brian Gregory",Dayton,2,31,14,17,0.4516,1,0,0,0
2006-2007,Dayton,1173,2006-07,2006,2007,"Brian Gregory",Dayton,3,31,19,12,0.6129,1,0,0,0
2007-2008,Dayton,1173,2007-08,2007,2008,"Brian Gregory",Dayton,4,34,23,11,0.6765,1,0,0,0
2008-2009,Dayton,1173,2008-09,2008,2009,"Brian Gregory",Dayton,5,35,27,8,0.7714,1,1,0,0
2009-2010,Dayton,1173,2009-10,2009,2010,"Brian Gregory",Dayton,6,37,25,12,0.6757,2,0,0,0
2010-2011,Dayton,1173,2010-11,2010,2011,"Brian Gregory",Dayton,7,36,22,14,0.6111,2,0,0,0
1979-1980,"Delaware St",1175,1979-80,1979,1980,"Ajac Triplett","Delaware State",0,27,15,12,0.5556,0,0,0,0
1980-1981,"Delaware St",1175,1980-81,1980,1981,"Ajac Triplett","Delaware State",1,26,8,18,0.3077,0,0,0,0
1981-1982,"Delaware St",1175,1981-82,1981,1982,"Ajac Triplett","Delaware State",2,26,13,13,0.5000,0,0,0,0
1982-1983,"Delaware St",1175,1982-83,1982,1983,"Ajac Triplett","Delaware State",3,27,8,19,0.2963,0,0,0,0
1996-1997,"Delaware St",1175,1996-97,1996,1997,"Art Perry","Delaware State",0,27,7,20,0.2593,0,0,0,0
1978-1979,Denver,1176,1978-79,1978,1979,"Ben Jobe",Denver,7,27,15,12,0.5556,0,0,0,0
1974-1975,Drake,1179,1974-75,1974,1975,"Bob Ortegel",Drake,0,29,19,10,0.6552,0,0,0,0
1975-1976,Drake,1179,1975-76,1975,1976,"Bob Ortegel",Drake,1,27,8,19,0.2963,0,0,0,0
1976-1977,Drake,1179,1976-77,1976,1977,"Bob Ortegel",Drake,2,27,10,17,0.3704,0,0,0,0
1977-1978,Drake,1179,1977-78,1977,1978,"Bob Ortegel",Drake,3,28,6,22,0.2143,0,0,0,0
1978-1979,Drake,1179,1978-79,1978,1979,"Bob Ortegel",Drake,4,27,15,12,0.5556,0,0,0,0
1979-1980,Drake,1179,1979-80,1979,1980,"Bob Ortegel",Drake,5,27,15,12,0.5556,0,0,0,0
1980-1981,Drake,1179,1980-81,1980,1981,"Bob Ortegel",Drake,6,29,18,11,0.6207,0,0,0,0
1991-1992,Drexel,1180,1991-92,1991,1992,"Bill Herrion",Drexel,0,30,16,14,0.5333,0,0,0,0
1992-1993,Drexel,1180,1992-93,1992,1993,"Bill Herrion",Drexel,1,29,22,7,0.7586,0,0,1,0
1993-1994,Drexel,1180,1993-94,1993,1994,"Bill Herrion",Drexel,2,30,25,5,0.8333,0,1,1,1
1994-1995,Drexel,1180,1994-95,1994,1995,"Bill Herrion",Drexel,3,30,22,8,0.7333,1,1,1,1
1995-1996,Drexel,1180,1995-96,1995,1996,"Bill Herrion",Drexel,4,31,27,4,0.8710,2,1,1,1
1996-1997,Drexel,1180,1996-97,1996,1997,"Bill Herrion",Drexel,5,31,22,9,0.7097,3,0,0,0
1997-1998,Drexel,1180,1997-98,1997,1998,"Bill Herrion",Drexel,6,28,13,15,0.4643,3,0,0,0
1998-1999,Drexel,1180,1998-99,1998,1999,"Bill Herrion",Drexel,7,29,20,9,0.6897,3,0,1,0
2001-2002,Drexel,1180,2001-02,2001,2002,"Bruiser Flint",Drexel,5,28,14,14,0.5000,2,0,0,0
2002-2003,Drexel,1180,2002-03,2002,2003,"Bruiser Flint",Drexel,6,31,19,12,0.6129,2,0,0,0
2003-2004,Drexel,1180,2003-04,2003,2004,"Bruiser Flint",Drexel,7,29,18,11,0.6207,2,0,0,0
2004-2005,Drexel,1180,2004-05,2004,2005,"Bruiser Flint",Drexel,8,29,17,12,0.5862,2,0,0,0
2005-2006,Drexel,1180,2005-06,2005,2006,"Bruiser Flint",Drexel,9,31,15,16,0.4839,2,0,0,0
2006-2007,Drexel,1180,2006-07,2006,2007,"Bruiser Flint",Drexel,10,32,23,9,0.7188,2,0,0,0
2007-2008,Drexel,1180,2007-08,2007,2008,"Bruiser Flint",Drexel,11,32,12,20,0.3750,2,0,0,0
2008-2009,Drexel,1180,2008-09,2008,2009,"Bruiser Flint",Drexel,12,29,15,14,0.5172,2,0,0,0
2009-2010,Drexel,1180,2009-10,2009,2010,"Bruiser Flint",Drexel,13,32,16,16,0.5000,2,0,0,0
2010-2011,Drexel,1180,2010-11,2010,2011,"Bruiser Flint",Drexel,14,31,21,10,0.6774,2,0,0,0
2011-2012,Drexel,1180,2011-12,2011,2012,"Bruiser Flint",Drexel,15,36,29,7,0.8056,2,0,1,0
2012-2013,Drexel,1180,2012-13,2012,2013,"Bruiser Flint",Drexel,16,31,13,18,0.4194,2,0,0,0
2013-2014,Drexel,1180,2013-14,2013,2014,"Bruiser Flint",Drexel,17,30,16,14,0.5333,2,0,0,0
2014-2015,Drexel,1180,2014-15,2014,2015,"Bruiser Flint",Drexel,18,30,11,19,0.3667,2,0,0,0
2015-2016,Drexel,1180,2015-16,2015,2016,"Bruiser Flint",Drexel,19,27,4,23,0.1481,2,0,0,0
1974-1975,Duke,1181,1974-75,1974,1975,"Bill E. Foster",Duke,11,26,13,13,0.5000,0,0,0,0
1975-1976,Duke,1181,1975-76,1975,1976,"Bill E. Foster",Duke,12,27,13,14,0.4815,0,0,0,0
1976-1977,Duke,1181,1976-77,1976,1977,"Bill E. Foster",Duke,13,27,14,13,0.5185,0,0,0,0
1977-1978,Duke,1181,1977-78,1977,1978,"Bill E. Foster",Duke,14,34,27,7,0.7941,0,1,0,1
1978-1979,Duke,1181,1978-79,1978,1979,"Bill E. Foster",Duke,15,30,22,8,0.7333,1,1,1,0
1979-1980,Duke,1181,1979-80,1979,1980,"Bill E. Foster",Duke,16,33,24,9,0.7273,2,1,0,1
1985-1986,"E Michigan",1185,1985-86,1985,1986,"Ben Braun","Eastern Michigan",0,15,5,10,0.3333,0,0,0,0
1986-1987,"E Michigan",1185,1986-87,1986,1987,"Ben Braun","Eastern Michigan",1,29,14,15,0.4828,0,0,0,0
1987-1988,"E Michigan",1185,1987-88,1987,1988,"Ben Braun","Eastern Michigan",2,30,22,8,0.7333,0,1,1,1
1988-1989,"E Michigan",1185,1988-89,1988,1989,"Ben Braun","Eastern Michigan",3,29,16,13,0.5517,1,0,0,0
1989-1990,"E Michigan",1185,1989-90,1989,1990,"Ben Braun","Eastern Michigan",4,32,19,13,0.5938,1,0,0,0
1990-1991,"E Michigan",1185,1990-91,1990,1991,"Ben Braun","Eastern Michigan",5,33,26,7,0.7879,1,1,1,1
1991-1992,"E Michigan",1185,1991-92,1991,1992,"Ben Braun","Eastern Michigan",6,31,9,22,0.2903,2,0,0,0
1992-1993,"E Michigan",1185,1992-93,1992,1993,"Ben Braun","Eastern Michigan",7,30,13,17,0.4333,2,0,0,0
1993-1994,"E Michigan",1185,1993-94,1993,1994,"Ben Braun","Eastern Michigan",8,27,15,12,0.5556,2,0,0,0
1994-1995,"E Michigan",1185,1994-95,1994,1995,"Ben Braun","Eastern Michigan",9,30,20,10,0.6667,2,0,0,0
1995-1996,"E Michigan",1185,1995-96,1995,1996,"Ben Braun","Eastern Michigan",10,31,25,6,0.8065,2,1,1,1
1999-1900,"East Carolina",1187,1999-00,1999,1900,"Bill Herrion","East Carolina",8,28,10,18,0.3571,3,0,0,0
2000-2001,"East Carolina",1187,2000-01,2000,2001,"Bill Herrion","East Carolina",9,28,14,14,0.5000,3,0,0,0
2001-2002,"East Carolina",1187,2001-02,2001,2002,"Bill Herrion","East Carolina",10,30,12,18,0.4000,3,0,0,0
2002-2003,"East Carolina",1187,2002-03,2002,2003,"Bill Herrion","East Carolina",11,27,12,15,0.4444,3,0,0,0
2003-2004,"East Carolina",1187,2003-04,2003,2004,"Bill Herrion","East Carolina",12,27,13,14,0.4815,3,0,0,0
2004-2005,"East Carolina",1187,2004-05,2004,2005,"Bill Herrion","East Carolina",13,28,9,19,0.3214,3,0,0,0
1990-1991,ETSU,1190,1990-91,1990,1991,"Alan LeForce","East Tennessee State",0,33,28,5,0.8485,0,1,1,1
1991-1992,ETSU,1190,1991-92,1991,1992,"Alan LeForce","East Tennessee State",1,31,24,7,0.7742,1,1,1,1
1992-1993,ETSU,1190,1992-93,1992,1993,"Alan LeForce","East Tennessee State",2,29,19,10,0.6552,2,0,0,0
1993-1994,ETSU,1190,1993-94,1993,1994,"Alan LeForce","East Tennessee State",3,30,16,14,0.5333,2,0,0,0
1994-1995,ETSU,1190,1994-95,1994,1995,"Alan LeForce","East Tennessee State",4,28,14,14,0.5000,2,0,0,0
1995-1996,ETSU,1190,1995-96,1995,1996,"Alan LeForce","East Tennessee State",5,27,7,20,0.2593,2,0,0,0
1982-1983,ETSU,1190,1982-83,1982,1983,"Barry Dowd","East Tennessee State",14,31,22,9,0.7097,0,0,0,0
1983-1984,ETSU,1190,1983-84,1983,1984,"Barry Dowd","East Tennessee State",15,28,9,19,0.3214,0,0,0,0
1984-1985,ETSU,1190,1984-85,1984,1985,"Barry Dowd","East Tennessee State",16,27,9,18,0.3333,0,0,0,0
1987-1988,"E Washington",1186,1987-88,1987,1988,"Bob Hofman","Eastern Washington",0,27,6,21,0.2222,0,0,0,0
1988-1989,"E Washington",1186,1988-89,1988,1989,"Bob Hofman","Eastern Washington",1,30,8,22,0.2667,0,0,0,0
1989-1990,"E Washington",1186,1989-90,1989,1990,"Bob Hofman","Eastern Washington",2,29,18,11,0.6207,0,0,0,0
1969-1970,"F Dickinson",1192,1969-70,1969,1970,"Al Lobalbo","Fairleigh Dickinson",0,23,13,10,0.5652,0,0,0,0
1970-1971,"F Dickinson",1192,1970-71,1970,1971,"Al Lobalbo","Fairleigh Dickinson",1,23,16,7,0.6957,0,0,0,0
1971-1972,"F Dickinson",1192,1971-72,1971,1972,"Al Lobalbo","Fairleigh Dickinson",2,24,15,9,0.6250,0,0,0,0
1972-1973,"F Dickinson",1192,1972-73,1972,1973,"Al Lobalbo","Fairleigh Dickinson",3,26,13,13,0.5000,0,0,0,0
1973-1974,"F Dickinson",1192,1973-74,1973,1974,"Al Lobalbo","Fairleigh Dickinson",4,25,11,14,0.4400,0,0,0,0
1974-1975,"F Dickinson",1192,1974-75,1974,1975,"Al Lobalbo","Fairleigh Dickinson",5,24,11,13,0.4583,0,0,0,0
1975-1976,"F Dickinson",1192,1975-76,1975,1976,"Al Lobalbo","Fairleigh Dickinson",6,22,9,13,0.4091,0,0,0,0
1976-1977,"F Dickinson",1192,1976-77,1976,1977,"Al Lobalbo","Fairleigh Dickinson",7,26,13,13,0.5000,0,0,0,0
1977-1978,"F Dickinson",1192,1977-78,1977,1978,"Al Lobalbo","Fairleigh Dickinson",8,24,6,18,0.2500,0,0,0,0
1978-1979,"F Dickinson",1192,1978-79,1978,1979,"Al Lobalbo","Fairleigh Dickinson",9,26,8,18,0.3077,0,0,0,0
1979-1980,"F Dickinson",1192,1979-80,1979,1980,"Al Lobalbo","Fairleigh Dickinson",10,27,13,14,0.4815,0,0,0,0
1996-1997,Florida,1196,1996-97,1996,1997,"Billy Donovan",Florida,2,30,13,17,0.4333,0,0,0,0
1997-1998,Florida,1196,1997-98,1997,1998,"Billy Donovan",Florida,3,29,14,15,0.4828,0,0,0,0
1998-1999,Florida,1196,1998-99,1998,1999,"Billy Donovan",Florida,4,31,22,9,0.7097,0,1,0,0
1999-1900,Florida,1196,1999-00,1999,1900,"Billy Donovan",Florida,5,37,29,8,0.7838,1,1,1,0
2000-2001,Florida,1196,2000-01,2000,2001,"Billy Donovan",Florida,6,31,24,7,0.7742,2,1,1,0
2001-2002,Florida,1196,2001-02,2001,2002,"Billy Donovan",Florida,7,31,22,9,0.7097,3,1,1,0
2002-2003,Florida,1196,2002-03,2002,2003,"Billy Donovan",Florida,8,33,25,8,0.7576,4,1,0,0
2003-2004,Florida,1196,2003-04,2003,2004,"Billy Donovan",Florida,9,31,20,11,0.6452,5,1,0,0
2004-2005,Florida,1196,2004-05,2004,2005,"Billy Donovan",Florida,10,32,24,8,0.7500,6,1,0,1
2005-2006,Florida,1196,2005-06,2005,2006,"Billy Donovan",Florida,11,39,33,6,0.8462,7,1,0,1
2006-2007,Florida,1196,2006-07,2006,2007,"Billy Donovan",Florida,12,40,35,5,0.8750,8,1,1,1
2007-2008,Florida,1196,2007-08,2007,2008,"Billy Donovan",Florida,13,36,24,12,0.6667,9,0,0,0
2008-2009,Florida,1196,2008-09,2008,2009,"Billy Donovan",Florida,14,36,25,11,0.6944,9,0,0,0
2009-2010,Florida,1196,2009-10,2009,2010,"Billy Donovan",Florida,15,34,21,13,0.6176,9,1,0,0
2010-2011,Florida,1196,2010-11,2010,2011,"Billy Donovan",Florida,16,37,29,8,0.7838,10,1,1,0
